"departamento","codigo_departamento","municipio","codigo_municipio","poblacion","2020-02-13","2020-02-14","2020-02-15","2020-02-16","2020-02-17","2020-02-18","2020-02-19","2020-02-20","2020-02-21","2020-02-22","2020-02-23","2020-02-24","2020-02-25","2020-02-26","2020-02-27","2020-02-28","2020-02-29","2020-03-01","2020-03-02","2020-03-03","2020-03-04","2020-03-05","2020-03-06","2020-03-07","2020-03-08","2020-03-09","2020-03-10","2020-03-11","2020-03-12","2020-03-13","2020-03-14","2020-03-15","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-21","2020-03-22","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-28","2020-03-29","2020-03-30","2020-03-31","2020-04-01","2020-04-02","2020-04-03","2020-04-04","2020-04-05","2020-04-06","2020-04-07","2020-04-08","2020-04-09","2020-04-10","2020-04-11","2020-04-12","2020-04-13","2020-04-14","2020-04-15","2020-04-16","2020-04-17","2020-04-18","2020-04-19","2020-04-20","2020-04-21","2020-04-22","2020-04-23","2020-04-24","2020-04-25","2020-04-26","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-02","2020-05-03","2020-05-04","2020-05-05","2020-05-06","2020-05-07","2020-05-08","2020-05-09","2020-05-10","2020-05-11","2020-05-12","2020-05-13","2020-05-14","2020-05-15","2020-05-16","2020-05-17","2020-05-18","2020-05-19","2020-05-20","2020-05-21","2020-05-22","2020-05-23","2020-05-24","2020-05-25","2020-05-26","2020-05-27","2020-05-28","2020-05-29","2020-05-30","2020-05-31","2020-06-01","2020-06-02","2020-06-03","2020-06-04","2020-06-05","2020-06-06","2020-06-07","2020-06-08","2020-06-09","2020-06-10","2020-06-11","2020-06-12","2020-06-13","2020-06-14","2020-06-15","2020-06-16","2020-06-17","2020-06-18","2020-06-19","2020-06-20","2020-06-21","2020-06-22","2020-06-23","2020-06-24","2020-06-25","2020-06-26","2020-06-27","2020-06-28","2020-06-29","2020-06-30","2020-07-01","2020-07-02","2020-07-03","2020-07-04","2020-07-05","2020-07-06","2020-07-07","2020-07-08","2020-07-09","2020-07-10","2020-07-11","2020-07-12","2020-07-13","2020-07-14","2020-07-15","2020-07-16","2020-07-17","2020-07-18","2020-07-19","2020-07-20","2020-07-21","2020-07-22","2020-07-23","2020-07-24","2020-07-25","2020-07-26","2020-07-27","2020-07-28","2020-07-29","2020-07-30","2020-07-31","2020-08-01","2020-08-02","2020-08-03","2020-08-04","2020-08-05","2020-08-06","2020-08-07","2020-08-08","2020-08-09","2020-08-10","2020-08-11","2020-08-12","2020-08-13","2020-08-14","2020-08-15","2020-08-16","2020-08-17","2020-08-18","2020-08-19","2020-08-20","2020-08-21","2020-08-22","2020-08-23","2020-08-24","2020-08-25","2020-08-26","2020-08-27","2020-08-28","2020-08-29","2020-08-30","2020-08-31","2020-09-01","2020-09-02","2020-09-03","2020-09-04","2020-09-05","2020-09-06","2020-09-07","2020-09-08","2020-09-09","2020-09-10","2020-09-11","2020-09-12","2020-09-13","2020-09-14","2020-09-15","2020-09-16","2020-09-17","2020-09-18","2020-09-19","2020-09-20","2020-09-21","2020-09-22","2020-09-23","2020-09-24","2020-09-25","2020-09-26","2020-09-27","2020-09-28","2020-09-29","2020-09-30","2020-10-01","2020-10-02","2020-10-03","2020-10-04","2020-10-05","2020-10-06","2020-10-07","2020-10-08","2020-10-09","2020-10-10","2020-10-11","2020-10-12","2020-10-13","2020-10-14","2020-10-15","2020-10-16","2020-10-17","2020-10-18","2020-10-19","2020-10-20","2020-10-21","2020-10-22","2020-10-23","2020-10-24","2020-10-25","2020-10-26","2020-10-27","2020-10-28","2020-10-29","2020-10-30","2020-10-31","2020-11-01","2020-11-02","2020-11-03","2020-11-04","2020-11-05","2020-11-06","2020-11-07","2020-11-08","2020-11-09","2020-11-10","2020-11-11","2020-11-12","2020-11-13","2020-11-14","2020-11-15","2020-11-16","2020-11-17","2020-11-18","2020-11-19","2020-11-20","2020-11-21","2020-11-22","2020-11-23","2020-11-24","2020-11-25","2020-11-26","2020-11-27","2020-11-28","2020-11-29","2020-11-30","2020-12-01","2020-12-02","2020-12-03","2020-12-04","2020-12-05","2020-12-06","2020-12-07","2020-12-08","2020-12-09","2020-12-10","2020-12-11","2020-12-12","2020-12-13","2020-12-14","2020-12-15"
"EL PROGRESO","02","SANARATE","0207","41997",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,3,0,0,0,3,0,1,0,23,9,5,1,3,25,0,10,1,1,4,1,2,16,1,6,5,0,1,1,8,0,0,1,0,10,43,13,1,0,1,5,11,0,2,5,12,0,0,14,1,1,0,2,0,2,1,3,2,3,13,7,7,12,11,3,10,3,9,7,18,30,1,6,2,7,8,1,3,3,2,18,11,2,1,4,5,33,11,3,1,2,2,14,4,21,10,6,0,9,10,15,7,14,0,0,6,13,10,7,2,0,2,10,12,10,8,15,0,0,14,14,15,22,3,5,1,13,2,12,17,6,5,0,4,4,10,5,5,1,0,15,3,2,2,7,2,0,9,5,11,4,15,0,0,17,7,19,3,61,10,1,21,12,13,18,8,4,6,12,0,3,6,13,3,3,17,8,13,21,9,0,0,4,10,18,6,12,0,2,9,12,7,9,7,0,0,5,18,4,6,22,1,7,1,11,9,3,2,14,0,7,5,16,13,9,10,0,8,32,53,129,65,7,1,134,6
"ESCUINTLA","05","GUANAGAZAPA","0508","17234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,2,1,0,2,0,1,0,1,1,1,2,1,1,1,3,0,0,1,4,0,0,1,3,3,1,1,0,0,3,2,3,1,0,0,0,0,0,2,0,1,1,0,2,1,2,2,4,1,1,2,2,1,3,1,1,1,3,4,0,3,3,0,0,3,3,3,2,1,0,0,0,2,0,1,0,0,0,1,1,1,8,2,0,0,0,0,1,1,0,1,0,0,3,1,0,2,0,2,1,1,3,0,2,0,0,3,4,2,1,1,0,0,0,1,1,0,1,1,0,1,0,2,2,2,0,0,2,2,1,1,0,0,0,0,0,4,0,4,0,0,1,1,1,0,0,0,0,5,1,0,0,0,0,0,1,0,1,2,0,0,0,3,1,0,0,0,3,0,0,4,0,1,5,0,0,4,2
"HUEHUETENANGO","13","SANTA BARBARA","1310","42667",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,2,0,1,0,0,2,0,1,1,1,1,3,0,1,2,3,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,1,2,1,0,1,0,1,0,0,0,1,0,4,0,0,1,0,0,1,0,0,0,3,0,0,5,0,0,11,10,1,0,2,0,0,2,0,0,0,3,3,2,0,0,0,1,1,0,1,1,0,0,0,1,1,2,0,0,2,0,0,0
"IZABAL","18","LIVINGSTON","1802","79360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,3,4,0,0,0,2,2,0,1,0,10,0,2,4,1,3,0,4,2,3,4,3,2,1,1,1,8,1,3,5,5,0,3,4,4,4,1,2,0,2,7,19,11,6,8,0,0,14,5,7,9,4,1,1,15,15,20,13,13,0,1,16,16,7,5,6,8,0,11,21,17,6,9,4,1,19,1,22,11,10,2,1,16,18,4,11,40,1,1,74,16,8,27,15,8,1,16,20,10,18,32,1,1,16,11,20,11,8,1,0,20,0,19,18,7,0,0,17,7,4,11,1,1,0,1,6,1,0,4,0,2,7,25,7,24,53,2,0,15,9,1,2,5,0,0,35,1,0,0,14,3,0,52,8,6,5,3,1,0,7,10,19,2,11,1,2,36,18
"JUTIAPA","22","ZAPOTITLAN","2210","10340",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,4,1,2,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,2,1,0,1,0,0,0,0,1,1,2,1,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,4,0,1,0,6,0,0,2,0,0,0,3,0,3,1,1,0,0,0,0,3,1,16,0,0,2,6,0,11,0,0,0,1,2,1,0,2,0,0,1,1,0,0,6,1,0,0,1,0,0,3,0,1,1,0,0,1,0,0,0,0,0
"PETEN","17","SAYAXCHE","1710","97003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,2,1,1,0,0,0,1,0,0,2,1,1,0,0,0,0,0,2,0,0,2,1,0,2,1,0,2,0,0,1,0,4,2,2,0,2,1,0,8,1,1,0,3,1,0,0,0,0,1,1,0,1,5,0,0,5,7,4,0,3,0,0,0,2,5,7,6,3,1,12,30,27,17,17,7,7,4,9,4,20,17,7,1,9,10,11,10,1,2,1,4,0,4,12,7,4,0,16,1,8,13,6,0,1,2,20,15,11,4,0,2,7,10,8,4,18,3,0,6,52,14,46,1,1,0,7,3,1,10,9,1,0,10,22,13,9,6,0,0,2,5,23,8,4,0,0,2,6,2,11,4,0,0,10,9,4,6,9,0,1,11,13,16,28,20,1,0,6,12,54,6,7,0,0,23,31,51,19,5,1,0,22,38
"QUICHE","14","CUNEN","1410","46350",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,1,1,1,2,0,0,1,1,1,0,3,3,0,1,0,2,0,1,2,1,1,0,1,0,0,0,0,0,0,7,1,1,1,0,3,0,0,0,0,0,0,1,1,0,4,0,0,0,1,2,0,3,0,1,0,0,0,1,0,1,1,0,0,0,1,2,2,0,0,2,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,3,1,1,0,0,0,0,1,0,0,2,0,10,0,1,0,0,0,0,2,1,1,3,1,0,0,0,0
"QUICHE","14","SACAPULAS","1416","54845",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,1,0,4,0,1,2,0,0,0,0,1,1,0,1,0,0,1,3,1,3,1,3,1,5,0,0,2,3,0,1,1,1,1,2,0,0,1,2,1,0,0,1,0,2,0,1,0,0,2,0,0,0,0,7,2,2,0,1,0,2,0,4,2,0,0,0,3,2,0,1,1,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,4,0,0,2,1,0,0,1,0,0,0,0,2,3,0,0,1,2,3,2,1,2,1,1,2,0,14,3,0,0,0,1,4,0,1,3,1,0,6,1,3,0,1,0,0,2,6,1,0,0,0,0,2,0
"QUICHE","14","SAN ANDRES SAJCABAJA","1414","27522",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,5,0,5,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,3,2,2,0,0,0,3,0,0,3,0,0,0,0,3,4,2,2,0,1,4,0,0,0,1,0,0,4,2,3,9,2,0,0,0,1,2,0,3,0,0,1,2,1,0,5,0,0,0,2,1,1,1,0,0,1,9,0,2,8,57,8,42,14,0,0,0,0,0,2,5,20,3,0,0,0,5,0
"RETALHULEU","11","EL ASINTAL","1109","42601",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,5,1,0,1,2,0,2,1,0,3,1,0,2,4,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,4,1,0,0,0,1,1,1,0,1,1,2,0,0,0,1,0,1,0,3,0,0,0,1,0,2,3,4,0,4,0,0,2,0,2,1,2,1,0,4,3,2,1,1,1,1,0,0,1,2,0,0,2,2,2,7,3,2,6,0,0,3,0,1,0,1,0,3,6,1,0,0,0,0,0,1,7,0,5,2,0,1,3,4,0,0,27,2,0,1,0,2,0,3,1,0,2,4,1,1,13,2,0,8,2,5,1,30,1,2,7,17,1,21,13,2,0,4,16,5,13,12,1,1,10,15,29,84,6,0,0,9,2,30,24,29,1,0,7,15,3,8,3,2,0,12,19,10,14,23,2,2,15,4,21,45,14,4,0,18,19,4,10,19,0,0,13,9,15,4,25,6,5,13,20,29,31,78,0,0,33,28
"SACATEPEQUEZ","03","SANTA LUCIA MILPAS ALTAS","0309","17116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,1,0,0,0,0,0,2,1,0,1,0,3,0,0,1,1,0,0,1,0,1,1,0,2,0,5,3,6,4,2,1,7,5,4,0,6,2,1,2,7,3,4,8,24,13,10,6,0,6,27,8,5,0,5,8,7,4,4,3,1,16,13,12,4,7,2,3,3,10,11,8,8,2,1,1,5,5,4,7,5,4,3,2,4,22,13,3,2,5,8,3,2,6,1,2,9,7,8,12,6,3,1,5,3,9,8,8,1,0,6,8,3,2,3,4,1,3,5,6,9,6,2,4,5,16,2,20,8,10,3,1,5,1,6,5,0,2,10,4,8,3,5,4,2,5,6,7,5,8,3,5,6,3,2,23,8,0,2,25,10,11,8,25,13,0,12,10,8,16,11,2,3,3,8,6,14,9,3,2,13,7,4,12,9,5,0,6,23,13,12,6,6,0,7,9,10,12,5,1,2,6,10,5,6,2,4,0,1,4
"SAN MARCOS","12","LA BLANCA","1230","33764",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,2,0,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,1,1,1,1,0,0,1,0,1,0,2,0,0,2,0,2,0,0,1,0,0,2,1,3,4,8,0,0,1,0,3,1,0,0,0,0,1,0,3,1,0,0,1,2,2,1,3,0,0,6,3,0,0,1,1,0,1,5,2,3,2,0,0,1,1,2,0,0,1,0,0,0,0,3,0,0,0,4,2,2,3,1,0,0,1,1,2,0,0,0,0,0,3,1,1,0,6,0,0,3,2,0,0,0,0,0,0,3,1,0,0,0,3,3,1,1,0,0,0,0,0,2,3,0,0,0,1,0,2,1,1,0,0,0,4,0,0,1,0,0,5,1,1,1,1,0,0,5,1,1,1,1,0,0,2,0,0,0,2,1,0,1,1
"SAN MARCOS","12","SAN CRISTOBAL CUCHO","1225","17811",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,1,0,0,0,0,1,0,1,2,0,0,1,0,0,1,0,0,1,0,0,1,1,3,2,0,0,1,0,0,0,0,0,1,0,0,4,1,2,2,0,0,0,2,0,1,0,0,0,0,1,2,6,0,2,0,0,0,1,1,0,2,0,2,0,0,0,4,0,0,2,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,2,0,1,0,1,0,0,1,0
"SAN MARCOS","12","SAN MIGUEL IXTAHUACAN","1205","51975",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,8,13,0,0,0,0,1,2,2,0,1,2,1,2,1,1,1,0,2,2,10,6,1,0,1,2,5,5,0,0,0,0,5,1,2,0,2,2,1,1,1,0,7,0,0,1,1,0,2,10,11,0,0,0,1,1,6,4,1,0,1,9,0,10,6,2,1,9,2,1,6,2,2,0,10,0,1,1,8,1,0,1,1,2,1,2,0,1,0,1,4,2,1,0,0,5,4,3,0,1,0,0,0,1,1,4,1,0,1,3,0,1,0,1,1,0,1,2,5,8,1,1,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,4,0,1,1,0,0,0,0,0
"SAN MARCOS","12","TAJUMULCO","1209","62329",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3,0,13,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,1,0,0,1,0,1,0,0,5,0,2,5,1,0,1,0,2,2,0,0,1,3,0,2,0,1,8,0,2,2,1,2,0,1,0,0,2,1,1,0,1,2,0,0,0,1,2,2,0,1,0,0,2,2,2,2,2,1,2,0,1,0,2,2,2,1,0,4,1,0,0,1,3,0,0,2,0,1,1,2,5,1,0,0,8,5,6,2,1,0,0,0,2,7,0,1,0,1,5,3,0,0,2,1,1,5,0,7,4,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,1,1,3,0,0,1,0
"SAN MARCOS","12","TEJUTLA","1210","43512",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,1,0,0,0,4,6,0,0,0,0,1,5,4,2,0,0,2,0,3,1,2,1,0,1,0,3,0,1,2,2,0,1,2,3,5,0,0,9,4,5,1,3,0,0,6,3,0,1,5,1,1,2,3,0,0,1,1,1,0,9,2,5,9,0,0,1,4,2,8,6,0,0,0,8,0,1,1,1,5,11,9,2,1,3,0,1,3,5,5,2,8,4,0,0,2,1,1,5,1,1,3,1,9,2,17,1,0,12,7,1,10,1,0,0,1,3,1,1,3,2,2,0,0,13,7,2,0,4,13,5,3,2,1,0,0,3,0,3,3,3,1,1,2,0,0,1,0,1,0,5,2,1,1,0,0,1,2,2
"SANTA ROSA","06","CHIQUIMULILLA","0608","63897",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,2,0,1,0,1,0,2,0,1,1,0,0,1,1,2,3,1,1,1,2,0,0,0,0,1,4,0,0,6,3,0,0,0,1,7,1,1,9,2,0,0,2,2,0,0,2,2,1,2,2,1,1,3,0,5,10,6,6,0,4,1,1,1,1,1,0,2,1,1,5,10,4,0,2,5,4,6,8,0,0,3,21,1,5,1,3,0,9,3,11,1,3,0,5,2,4,5,4,0,1,2,4,2,4,3,14,0,0,4,2,3,0,1,0,1,1,4,1,3,3,1,0,3,0,2,13,14,0,0,1,18,1,2,3,0,0,1,4,4,2,2,0,0,5,3,2,0,7,1,0,3,5,4,10,147,28,2,4,1,2,5,22,2,1,3,11,4,53,2,0,0,3,25,12,4,8,0,0,6,13,0,4,8,0,1,25,15,15,36,4,0,1,3,29,7,0,1,0,0,2,3,1,2,2,0,0,1,4,2,4,31,0,0,27,33
"SOLOLA","07","SAN PEDRO LA LAGUNA","0718","11600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,2,1,0,21,6,1,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,9,15,14,1,1,0,6,2,1,11,0,0,0,0,1,1,0,0,0,0,0,1,2,11,11,0,1,0,0,0,1,1,0,0,6,1,1,0,1,1,0,0,0,16,4,1,0,0,0,0,2,1,0,0,0,1,2,1,0,0,0,0,0,0,1,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
